city_slug,city_name,days_from_cutoff,n_obs,mean_price_usd,mean_log_price,availability_rate
boston,Boston,-56,4426,249.61138725711703,5.164466631439678,0.6642566651604157
boston,Boston,-55,4426,249.61138725711703,5.164466631439678,0.6642566651604157
boston,Boston,-54,4426,249.61138725711703,5.164466631439678,0.6647085404428378
boston,Boston,-53,4426,249.61138725711703,5.164466631439678,0.6633529145955717
boston,Boston,-52,4426,249.61138725711703,5.164466631439678,0.6570266606416629
boston,Boston,-51,4426,249.61138725711703,5.164466631439678,0.6563488477180298
boston,Boston,-50,4426,249.61138725711703,5.164466631439678,0.6592860370537732
boston,Boston,-49,4426,249.61138725711703,5.164466631439678,0.6545413465883416
boston,Boston,-48,4426,249.61138725711703,5.164466631439678,0.6516041572525982
boston,Boston,-47,4426,249.61138725711703,5.164466631439678,0.6529597830998645
boston,Boston,-46,4426,249.61138725711703,5.164466631439678,0.6570266606416629
boston,Boston,-45,4426,249.61138725711703,5.164466631439678,0.6635788522367827
boston,Boston,-44,4426,249.61138725711703,5.164466631439678,0.6626751016719385
boston,Boston,-43,4426,249.61138725711703,5.164466631439678,0.6687754179846362
boston,Boston,-42,4426,249.61138725711703,5.164466631439678,0.6676457297785812
boston,Boston,-41,4426,249.61138725711703,5.164466631439678,0.6660641662901039
boston,Boston,-40,4426,249.61138725711703,5.164466631439678,0.6064166290103932
boston,Boston,-39,4426,249.61138725711703,5.164466631439678,0.5985088115680073
boston,Boston,-38,4426,249.61138725711703,5.164466631439678,0.59692724807953
boston,Boston,-37,4426,249.61138725711703,5.164466631439678,0.605512878445549
boston,Boston,-36,4426,249.61138725711703,5.164466631439678,0.6059647537279711
boston,Boston,-35,4426,249.61138725711703,5.164466631439678,0.6111613194758246
boston,Boston,-34,4426,249.61138725711703,5.164466631439678,0.6134206958879349
boston,Boston,-33,4426,249.61138725711703,5.164466631439678,0.6127428829643019
boston,Boston,-32,4426,249.61138725711703,5.164466631439678,0.6154541346588341
boston,Boston,-31,4426,249.61138725711703,5.164466631439678,0.6095797559873475
boston,Boston,-30,4426,249.61138725711703,5.164466631439678,0.614098508811568
boston,Boston,-29,4426,249.61138725711703,5.164466631439678,0.6152281970176231
boston,Boston,-28,4426,249.61138725711703,5.164466631439678,0.6154541346588341
boston,Boston,-27,4426,249.61138725711703,5.164466631439678,0.6159060099412562
boston,Boston,-26,4426,249.61138725711703,5.164466631439678,0.6172616357885223
boston,Boston,-25,4426,249.61138725711703,5.164466631439678,0.6177135110709444
boston,Boston,-24,4426,249.61138725711703,5.164466631439678,0.6204247627654768
boston,Boston,-23,4426,249.61138725711703,5.164466631439678,0.6213285133303208
boston,Boston,-22,4426,249.61138725711703,5.164466631439678,0.6258472661545413
boston,Boston,-21,4426,249.61138725711703,5.164466631439678,0.6274288296430185
boston,Boston,-20,4426,249.61138725711703,5.164466631439678,0.6285585178490737
boston,Boston,-19,4426,249.61138725711703,5.164466631439678,0.6276547672842295
boston,Boston,-18,4426,249.61138725711703,5.164466631439678,0.622232263895165
boston,Boston,-17,4426,249.61138725711703,5.164466631439678,0.623136014460009
boston,Boston,-16,4426,249.61138725711703,5.164466631439678,0.6265250790781745
boston,Boston,-15,4426,249.61138725711703,5.164466631439678,0.631495707184817
boston,Boston,-14,4426,249.61138725711703,5.164466631439678,0.6321735201084501
boston,Boston,-13,4426,249.61138725711703,5.164466631439678,0.6330772706732942
boston,Boston,-12,4426,249.61138725711703,5.164466631439678,0.6333032083145052
boston,Boston,-11,4426,249.61138725711703,5.164466631439678,0.631495707184817
boston,Boston,-10,4426,249.61138725711703,5.164466631439678,0.6113872571170357
boston,Boston,-9,4426,249.61138725711703,5.164466631439678,0.6091278807049254
boston,Boston,-8,4426,249.61138725711703,5.164466631439678,0.6095797559873475
boston,Boston,-7,4426,249.61138725711703,5.164466631439678,0.6075463172164483
boston,Boston,-6,4426,249.61138725711703,5.164466631439678,0.6070944419340262
boston,Boston,-5,4426,249.61138725711703,5.164466631439678,0.6061906913691821
boston,Boston,-4,4426,249.61138725711703,5.164466631439678,0.6059647537279711
boston,Boston,-3,4426,249.61138725711703,5.164466631439678,0.6041572525982829
boston,Boston,-2,4426,249.61138725711703,5.164466631439678,0.596249435155897
boston,Boston,-1,4426,249.61138725711703,5.164466631439678,0.6007681879801174
boston,Boston,0,4426,249.61138725711703,5.164466631439678,0.587663804789878
boston,Boston,1,4426,249.61138725711703,5.164466631439678,0.587437867148667
boston,Boston,2,4426,249.61138725711703,5.164466631439678,0.5887934929959331
boston,Boston,3,4426,249.61138725711703,5.164466631439678,0.5901491188431993
boston,Boston,4,4426,249.61138725711703,5.164466631439678,0.588567555354722
boston,Boston,5,4426,249.61138725711703,5.164466631439678,0.5865341165838228
boston,Boston,6,4426,249.61138725711703,5.164466631439678,0.5867600542250339
boston,Boston,7,4426,249.61138725711703,5.164466631439678,0.5915047446904654
boston,Boston,8,4426,249.61138725711703,5.164466631439678,0.5919566199728875
boston,Boston,9,4426,249.61138725711703,5.164466631439678,0.5930863081789426
boston,Boston,10,4426,249.61138725711703,5.164466631439678,0.5901491188431993
boston,Boston,11,4426,249.61138725711703,5.164466631439678,0.5865341165838228
boston,Boston,12,4426,249.61138725711703,5.164466631439678,0.5865341165838228
boston,Boston,13,4426,249.61138725711703,5.164466631439678,0.5948938093086308
boston,Boston,14,4426,249.61138725711703,5.164466631439678,0.5935381834613647
boston,Boston,15,4426,249.61138725711703,5.164466631439678,0.5948938093086308
boston,Boston,16,4426,249.61138725711703,5.164466631439678,0.5955716222322639
boston,Boston,17,4426,249.61138725711703,5.164466631439678,0.5924084952553096
boston,Boston,18,4426,249.61138725711703,5.164466631439678,0.5928603705377316
boston,Boston,19,4426,249.61138725711703,5.164466631439678,0.5933122458201536
boston,Boston,20,4426,249.61138725711703,5.164466631439678,0.596249435155897
boston,Boston,21,4426,249.61138725711703,5.164466631439678,0.5978309986443742
boston,Boston,22,4426,249.61138725711703,5.164466631439678,0.5987347492092182
boston,Boston,23,4426,249.61138725711703,5.164466631439678,0.5996384997740624
boston,Boston,24,4426,249.61138725711703,5.164466631439678,0.5955716222322639
boston,Boston,25,4426,249.61138725711703,5.164466631439678,0.5910528694080434
boston,Boston,26,4426,249.61138725711703,5.164466631439678,0.5906009941256213
boston,Boston,27,4426,249.61138725711703,5.164466631439678,0.5953456845910529
boston,Boston,28,4426,249.61138725711703,5.164466631439678,0.5976050610031631
boston,Boston,29,4426,249.61138725711703,5.164466631439678,0.5978309986443742
boston,Boston,30,4426,249.61138725711703,5.164466631439678,0.5953456845910529
boston,Boston,31,4426,249.61138725711703,5.164466631439678,0.5944419340262088
boston,Boston,32,4426,249.61138725711703,5.164466631439678,0.5955716222322639
boston,Boston,33,4426,249.61138725711703,5.164466631439678,0.5933122458201536
boston,Boston,34,4426,249.61138725711703,5.164466631439678,0.5937641211025757
boston,Boston,35,4426,249.61138725711703,5.164466631439678,0.5935381834613647
